Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
42763696281,OOKAS Nồi cơm điện đa năng，6L dung tích lớn 220V Chảo Chống Dính,"100,0k",0,Shop Nhà White Rose,4%,₫4.000,https://shopee.vn/product/913030722/42763696281,https://s.shopee.vn/6VJvCw4quk
28537547662,Quạt Cầm Tay Mùa Hè Ngoài Trời Và Du Lịch Đầu Cắm USB Làm Mát Im Lặng Không Dây Mini,"48,1k",9k+,HELLOSHOP2,12%,₫5.777,https://shopee.vn/product/1261473957/28537547662,https://s.shopee.vn/6L0V0d5UFj
28642497908,"Thùng 10 bịch Khăn Giấy Rút Treo Tường Bông Sen Việt 1200Tờ, Tặng Kèm 4 Móc Treo Tường","65,0k",30k+,Bông Sen Việt ,9%,₫5.850,https://shopee.vn/product/736393442/28642497908,https://s.shopee.vn/9UxWmRtQpM
24920439453,[FREESHIP 100%][BH 2NĂM] Quạt cây 5 cánh lõi đồng- Quạt điện - quạt bàn - Quạt đứng lỡ - BẢO HÀNH ĐỘNG CƠ 24 THÁNG,"260,0k",30k+,DODORO Official Store,6%,₫15.600,https://shopee.vn/product/1201397179/24920439453,https://s.shopee.vn/9Ke6a8u4AL
23083057421,"Combo 1kg Xoài sấy dẻo Mẹ Rô. Có hồ sơ công bố, xuất hóa đơn công ty đầu đủ","149,0k",900k+,THỰC PHẨM SẠCH MẸ RÔ SỐ 1,12%,₫17.880,https://shopee.vn/product/104828612/23083057421,https://s.shopee.vn/9paNB3sA9S
26408914100,"Quạt Cầm Tay Mini PTLUXURY Tích Điện ,Pin Sạc 10.000mAh,5 Tốc Độ Gió Có Dây Đeo Cổ,Đèn LED Hiển Thị Mẫu Mới","52,0k",60k+,PLSHARK,6%,₫3.120,https://shopee.vn/product/1157721162/26408914100,https://s.shopee.vn/9fGwyksnUR
29091627226,[MUA 1 TẶNG 1] Túi Nước Giặt Xả MaxKleen 3.8kg/ 3.6kg + Túi Nước Giặt Xả 1.2kg Mùi ngẫu nhiên,"205,0k",100k+,MaxKleen Vietnam,10%,₫20.500,https://shopee.vn/product/134350529/29091627226,https://s.shopee.vn/AADDZfqtTY
40711103986,"Vòng lắc eo lò xo JUSTFIT bọc nhựa mềm giảm mỡ nhanh, eo thon săn chắc tập tại nhà tiện lợi","124,0k",10k+,JUSTFIT | CHUẨN VÓC DÁNG,13%,₫16.120,https://shopee.vn/product/231426864/40711103986,https://s.shopee.vn/9ztnNMrWoX
6415343375,Nước cân bằng Caryophy 300ml (Caryophy Portulaca Toner 300ml),"335,0k",100k+,Caryophy Official Store,9%,₫30.150,https://shopee.vn/product/219269566/6415343375,https://s.shopee.vn/AUq3yHpcne
25273882315,Quạt cầm tay tích điện mini Jisulife Life 7 5 cấp độ gió 3600/5000mAh - Sử dụng lên đến 12h - Chính hãng - BH 12 tháng,"369,0k",90k+,Jisulife VN Official Store ,6%,₫22.140,https://shopee.vn/product/1048287205/25273882315,https://s.shopee.vn/AKWdlyqG8d
